,1: token_001f,2: token_002f,3: token_003f,4: token_004f,5: token_005f,6: token_006f,7: token_007f,8: token_008f,9: token_009f,10: token_010f,11: token_011f,12: token_012f,13: token_013f,14: token_014f,15: token_015f,16: token_016f,17: token_017f,18: token_018f,19: token_019f,20: token_020f,21: token_021f,22: token_022f,23: token_023f,24: token_024f,25: token_025f,26: token_026f,27: token_027f,28: token_028f,29: token_029f,30: token_030f,31: token_031f,32: token_032f,33: token_033f,34: token_034f,35: token_035f,36: token_036f,37: token_037f,38: token_038f,39: token_039f,40: token_040f,41: token_041f,42: token_042f,43: token_043f,44: token_044f,45: token_045f,46: token_046f,47: token_047f,48: token_048f,49: token_049f,50: token_050f,51: token_051f,52: token_052f,53: token_053f,54: token_054f,55: token_055f,56: token_056f,57: token_057f,58: token_058f,59: token_059f,60: token_060f,61: token_061f,62: token_062f,63: token_063f,64: token_064f,65: token_065f,66: token_066f,67: token_067f,68: token_068f,69: token_069f,70: token_070f,71: token_071f,72: token_072f,73: token_073f,74: token_074f,75: token_075f,76: token_076f,77: token_077f,78: token_078f,79: token_079f,80: token_080f,81: token_081f,82: token_082f,83: token_083f,84: token_084f,85: token_085f,86: token_086f,87: token_087f,88: token_088f,89: token_089f,90: token_090f,91: token_091f,92: token_092f,93: token_093f,94: token_094f,95: token_095f,96: token_096f,97: token_097f,98: token_098f,99: token_099f,100: token_100f,101: token_101f,
001c3a16.jpg,0.3580776,0.00713302,0.01078392,0.01336112,0.003987114,0.02159944,0.06223715,0.2639363,0.0167375,0.002584143,0.0137234,0.006429558,0.002025962,0.02119805,0.07856084,0.005218797,0.05354876,0.04258325,0.0006474744,0.02114932,0.04413406,0.004257984,0.09185117,0.002651155,0.01558891,0.0765066,0.01585804,0.1620732,0.05542217,0.0006347306,0.2152813,0.03736239,0.0595617,0.05005813,0.01984891,0.02770741,0.002404587,0.1166868,0.05283076,0.02267915,0.005126311,0.1634047,0.001691686,0.0001823736,0.03689611,0.01093963,0.07519256,0.1442291,0.049515,0.2439698,0.03539414,0.04438617,0.004981264,0.01212089,0.008770023,0.03291304,0.002376707,0.004107529,0.0925614,0.03955396,0.127048,0.002403601,0.03491275,0.02884913,0.04413613,0.0001438986,0.240517,0.03704069,0.01577213,0.006322544,0.003987009,0.04142161,0.004126092,0.09338165,0.007809769,0.09713952,0.02893345,0.02153054,0.0169793,0.0005632755,0.03807077,0.06506613,0.04944949,0.01811926,0.01972004,0.02856501,0.0001934887,0.008231182,0.01062192,0.001094377,0.06233352,0.1011467,0.01335174,0.01537043,0.02152742,0.0123494,0.01049094,0.003486938,0.03157547,0.004541822,0.02883829,
002c3a16.jpg,0.02423359,0.734466,0.04421389,0.004280333,0.005339065,0.01663459,0.08595999,0.01670969,0.05255402,0.005983159,0.05863741,0.03466976,0.009020493,0.02453543,0.02580947,0.01072231,0.0682561,0.06032788,0.02798621,0.002298479,0.01368148,0.04737931,0.006634801,0.00459549,0.01345013,0.008549723,0.01010178,0.0329161,0.02164852,0.005461664,0.03102998,0.02266414,0.005917076,0.05379619,0.09604736,0.0189054,0.01257947,0.001520736,0.07351906,0.0002460335,0.0503507,0.03339461,0.01800197,0.00723496,0.004705619,0.008452882,0.1211999,0.101978,0.02098945,0.1012454,0.01860921,0.01832204,0.01177916,0.01428102,0.001096997,0.001164274,0.03774582,0.009516618,0.0007197192,0.1326096,0.01054633,0.04544948,0.09525444,0.01781768,0.03027596,0.01584788,0.003961985,0.04992789,0.0402688,0.02593468,0.03504713,0.01721867,0.05147433,0.009325908,0.005948418,0.04840906,0.001533162,0.001857794,0.01105489,0.003157766,0.06264377,0.01708375,0.0230671,0.01665706,0.0060203,0.02843243,0.04692559,0.004334525,0.00605001,0.007526772,0.03101382,0.05032775,0.03114989,0.008790903,0.04328256,0.02308222,0.001759646,0.0524988,0.01797638,0.001440961,0.02299917,
003c3a16.jpg,0.008976059,0.08939701,0.1005824,0.02454473,0.0005858639,0.0506922,0.01577407,0.002938888,0.03123469,0.04061597,0.00158212,0.03061139,0.0009715729,0.01564751,0.01754932,0.02804362,0.003727674,0.0806746,0.01004706,0.04592178,0.04789511,0.02017193,0.05869117,0.06782075,0.004870922,0.01766278,0.01825535,0.006400218,0.03053147,0.06196921,0.1858633,0.03183126,0.01287998,0.0674835,0.005008867,0.004413407,0.04468863,0.1122587,0.0101085,0.0558231,0.0003855429,0.01177969,0.01046156,0.02146813,0.01642941,0.03356504,0.02337727,0.02399543,0.005552704,0.06545598,0.01499764,0.0209042,0.00568627,0.02395827,0.06214814,0.04030807,0.023866,0.01310377,0.0102761,0.07124392,0.09703656,0.003912262,0.002561026,0.02158212,0.01942737,0.06114183,0.0006934331,0.00888193,0.0004868885,0.06539134,0.002274347,0.0005964767,0.02894697,0.002721593,0.004623595,0.07006799,0.04024674,0.02499777,0.05304281,0.03605419,0.06552002,0.009703001,0.01856244,0.001900466,0.03638681,4.173726E-05,0.01765935,0.01801177,0.1018161,0.003331574,0.006435846,0.009629876,0.00431004,0.005065479,0.00412769,0.04633881,0.008837812,0.01511099,0.02915728,0.06758906,0.04030329,
005c3a16.jpg,0.02105107,0.03989865,0.009684911,0.06781936,0.491428,0.009706635,0.03965555,0.01044327,0.02008327,0.01748344,0.04616952,0.002790853,0.00425506,0.01688976,0.01447382,0.004149001,0.05278085,0.1078923,0.01747275,0.05859346,0.002959364,0.000320845,0.008580598,0.1045438,0.006585104,0.1341075,0.0009311302,0.08152415,0.009740855,0.001355008,0.00540392,0.01199794,0.009541583,0.007027584,0.05855172,0.0137782,0.001148614,0.04453066,0.02470736,0.05252412,0.1112069,0.02425206,0.05960847,0.005617217,0.02559528,0.1592774,0.003739376,0.03422506,0.003332182,0.1066389,0.002814588,0.01507415,0.02189956,0.01734783,0.04831867,0.03500016,0.06030008,0.01667061,0.04897737,0.0097084,0.01430474,0.01055323,0.007249573,0.006330296,0.0609168,0.01070434,0.1285674,0.01948645,0.07694338,0.05329024,0.01137748,0.02810938,0.0544485,0.05671795,0.04689042,0.004279981,0.00475965,0.005096506,0.005956816,0.001977561,0.07435422,0.01493735,0.0004110123,0.07401334,0.01431886,0.02929393,0.01314135,0.09010415,0.007956452,0.02646262,0.009993554,0.05390586,0.01122795,0.009277507,0.00687304,0.00934724,0.00317183,0.01134069,0.0001703221,0.004074774,0.005657346,
006c3a16.jpg,0.03695889,0.004567333,0.02417454,0.01435553,0.02085353,0.1949304,0.006185556,0.0008401165,0.005218336,0.05159501,0.002471345,0.0009115381,0.01142975,0.02242088,0.0009146678,0.02835665,0.006575103,0.02926598,0.004870851,0.01099778,0.003595787,0.0001053353,0.04589324,0.05114126,0.02656603,0.007661858,0.007613798,7.007328E-05,0.004513789,0.004568004,0.004540333,0.05515508,0.01477955,0.03653637,0.003285482,0.05302937,0.002498516,0.001816797,0.07284444,0.02773236,0.08529326,0.06677369,0.0053416,0.09369769,0.01360221,0.0003319078,0.005588784,0.02417,0.009266665,0.002896458,0.005552895,0.003934337,0.02138958,0.002595362,0.0248264,0.02554823,0.01747422,0.001761936,0.0484692,0.004898746,0.02144028,0.01760435,0.03668517,0.01099631,0.01733642,0.04966915,0.01067176,0.00342175,0.02007058,0.01785614,0.002852375,0.002711115,0.0252383,0.0004303156,0.00214713,0.02691161,0.04549317,0.001143262,0.001881182,0.003818962,0.01498311,0.006649897,0.03477048,0.01738453,0.05242264,0.02557364,0.02040974,0.002247192,0.01391249,0.0128593,0.01008151,0.0137262,0.05984725,0.01209605,0.01705533,0.008866213,0.01894344,0.000156431,0.0555924,0.04458662,0.01821602,
007c3a16.jpg,0.001459828,0.006212859,0.001865537,0.001901708,0.007705563,0.02902367,0.171909,0.01236975,0.01062085,0.007242293,0.07001383,0.03081274,0.002858176,0.04508034,0.03823838,0.07246796,0.05490962,0.02094905,0.03887444,0.06046706,0.03322805,0.009721562,0.03814021,0.007721283,0.04740615,0.0405516,0.0001080204,0.009411326,0.009790093,0.007670624,0.007396611,0.006715078,0.0006731781,0.03167039,0.003421838,0.007350813,0.001561164,0.02773611,0.06518523,0.03084083,0.03414508,0.004128179,0.07195581,0.01151696,0.002394056,0.07962403,0.03568508,0.001542299,0.07585981,0.01465283,0.02778887,0.00215542,0.02672409,0.0003735701,0.07539666,0.0002352927,0.0194223,0.007261628,0.007268697,0.01164063,0.03971514,0.0005639479,0.2104027,0.0003286287,0.01363388,0.01636746,0.0113305,0.0721096,0.006772434,0.03627288,0.0014025,0.003874447,0.03725514,0.008756337,0.03963722,0.009972885,0.07943232,0.0631525,0.006358686,0.007120918,0.01697139,0.0002412721,0.07993464,0.007640571,0.001715155,0.009652058,0.05653282,0.04282476,0.00136479,0.01014393,0.02733876,0.09505326,0.01356029,0.1088222,0.1122141,0.0332718,0.02126474,0.0301204,0.0802999,0.0179166,0.004622875,
008c3a16.jpg,0.08257698,0.08262667,0.09417086,0.01627534,0.03598445,0.02728273,0.06179583,0.357942,0.009138231,0.0005752785,0.01192961,0.03302259,0.01554269,0.0738469,0.007164236,0.007396785,0.01743582,0.01208679,0.06823644,0.02626093,0.0001447462,0.001408786,0.01684434,0.001734649,0.01140753,0.00278018,0.01023287,0.06338793,0.01616721,0.006142083,0.04321764,0.02060046,0.03373729,0.03789199,0.009837722,0.06283256,0.08369584,0.1133201,0.0396181,0.0008460145,0.0437909,0.007092107,0.03792723,0.02894838,0.02432853,0.03822797,0.01761715,0.07176726,0.02063953,0.05963813,0.01277782,0.0100254,0.04095651,0.04550408,0.01787377,0.0663662,0.04833502,0.01696804,0.03899844,0.01469891,0.04910364,0.01039042,0.04144871,0.04415048,0.02192491,0.03360593,0.0003614367,0.006279063,0.02120922,0.002858764,0.05038131,0.003944774,0.02967675,0.002168266,0.08820196,0.05364779,0.05617896,0.01174949,0.04104674,0.003006868,0.0189812,0.0700606,0.05906973,0.01827695,0.01293713,0.02052719,0.005340178,0.01069315,0.002476818,0.06036715,0.003019075,0.02035959,0.0335976,0.01450456,0.0421925,0.01833714,0.01285625,0.02244696,0.006758361,0.03340461,0.07722647,
009c3a16.jpg,0.002668141,0.01458078,0.01890405,7.340984E-05,0.0168559,0.005371093,0.0001999958,0.02117765,0.6529421,0.02563858,0.05115345,0.004514677,0.001939669,0.005787862,0.008603388,0.07698414,0.136894,0.02641426,0.06917208,0.01178221,0.0007734911,0.004052488,0.004981264,0.01656488,0.02085441,0.05993538,0.05442838,0.004174447,0.002840707,0.03904892,0.01043766,0.02674889,0.01849536,0.02923419,0.0006379414,0.005884794,0.0001054937,0.008834109,0.09835922,0.01178114,0.004843578,0.01319557,0.0005293866,0.006047678,0.01592125,0.005720988,0.006058074,0.006257858,0.004101216,0.001447688,0.004078683,6.381339E-05,0.0007352263,0.01535362,0.01702671,0.02000971,0.04613577,0.01717832,0.005916091,0.0009470565,0.01601347,0.008740637,0.01901969,0.03566923,0.006578749,0.014058,0.003770123,0.0002045157,0.08605646,0.004677701,0.0242086,0.00183948,0.00332685,0.0001986754,0.0005311465,0.05051116,0.0009182685,0.001631532,0.0004355222,1.291076E-05,0.001219699,0.00412453,0.04402345,0.01286758,0.02680871,0.001155014,0.0001086639,0.0007578554,0.0001347886,0.01158712,0.005722371,0.02141866,0.004677784,0.009320223,0.0141178,0.0004952258,0.02644538,0.03851835,0.006061473,0.0166072,0.01077534,
010c3a16.jpg,0.05396992,0.001307282,0.01234971,0.01601831,0.01286476,0.003599529,0.02093482,0.04006379,0.01925312,0.194922,2.207433E-05,0.04119814,0.003160401,0.04427187,0.00835474,0.02276166,0.04554684,0.003017771,0.1252012,0.03278077,0.07465878,0.01896053,0.007621714,9.192126E-05,0.002179989,0.05223253,0.002196466,7.847382E-05,0.001322093,0.0826308,0.01329059,0.0115937,0.0357059,0.01443519,0.01769322,0.01022436,0.0006057311,0.02160542,0.02087787,0.009016687,0.004209746,0.02512327,0.01504345,0.01174555,0.07809186,0.0002956165,0.02711478,0.1556347,0.03437837,0.009996643,0.04041342,0.0475508,0.04395738,0.0006489324,0.09725682,0.02134161,0.01606496,0.186952,0.03632693,0.01115783,0.01038001,0.01425573,0.001163263,0.006781951,0.00700996,0.003235022,0.001573862,0.0009288945,0.04473746,0.01761764,0.01193022,0.02827627,0.007603197,0.1718437,0.01614735,0.1639858,0.05495334,0.002698346,0.05006891,0.04676127,0.006147787,0.03788563,0.08936454,0.004843627,0.1477598,0.01319329,0.1209979,0.1158126,0.03432504,0.05696535,0.04995409,0.01036467,0.1120162,0.0005170003,0.02718095,0.004008525,0.01597252,0.009057937,0.02218347,0.03077065,0.07575706,
011c3a16.jpg,0.04148337,0.04102967,0.01403098,0.0001865071,0.007711248,0.0003411495,0.01075864,0.0005959288,0.1098078,0.009504331,0.6516809,0.01156468,0.001759478,0.02713714,0.00451601,0.003155214,0.02620266,0.002405681,0.1435751,0.01795735,0.001916935,0.02251461,0.04560981,0.0004364274,0.07717985,0.004788246,0.0032929,0.0006944797,0.03138492,0.02733378,0.0214924,0.01350859,0.007976521,0.004706342,0.01955556,0.03074532,0.001482683,0.009416855,0.0267313,0.002256881,0.05219919,0.008992203,0.006572034,0.01889575,0.005340528,0.001891373,0.0009292751,0.02473835,0.03198769,0.04543187,0.0004934595,0.0007424417,0.006576625,0.01815896,0.006538152,0.03685133,0.02241748,0.004493654,0.00860374,0.009242144,0.01167078,0.007209997,0.001994927,0.00348818,0.0009241636,0.004102599,0.03373376,0.03070274,0.04433761,0.0007176407,0.004492246,0.002612361,0.01142787,0.005249101,0.001087729,0.0006885011,0.1576946,0.001447723,0.001416726,0.002141635,0.006537687,0.03273549,0.03647476,0.001609739,0.009187704,0.05465712,0.03332791,0.003379056,0.002922419,0.009369983,0.0008971473,0.04497149,0.0035109,0.04028534,0.01638729,0.000581191,0.006077384,0.01841521,0.01811346,0.0002301584,0.01001455,
012c3a16.jpg,0.06225214,0.0448067,0.08213793,0.001876452,0.04077781,0.006678607,0.03491415,0.026216,0.01807651,0.04322807,0.1124469,0.564337,0.02803454,0.03408228,0.03928316,0.08272374,0.06962784,0.03894565,0.01346494,0.07321716,0.009160419,0.001252688,0.02073339,0.001195874,0.0333678,0.04608256,0.002099018,0.08920713,0.01185465,0.00335527,0.005464315,0.04871272,0.01366474,0.04496042,0.002302127,0.01606284,0.01855009,0.002332214,0.1092187,0.04028742,0.005981713,0.0407914,0.0640159,0.02898933,0.003168581,0.04283064,0.03811775,0.1117373,0.01534235,0.02830134,0.04551022,0.003395032,0.05680532,0.007492676,0.01017754,0.003543701,0.02338248,0.02052949,0.01055149,0.1481488,0.0919471,0.0001488685,5.601485E-05,0.01811696,0.01651291,0.02890005,0.03084547,0.06688213,0.008931892,0.01650122,0.009455127,0.09026843,0.005526286,0.0134873,0.009375054,0.0361571,0.04000295,0.01618899,0.01591972,0.009562797,0.029245,0.2265393,0.05242941,0.06590108,0.03486855,0.0114729,0.03440604,0.0004464463,0.01278874,0.04667034,0.02408709,0.1180282,0.08981103,0.02267883,0.00215909,0.0210693,0.1405024,0.04236222,0.008012683,0.002775587,0.001233217,
013c3a16.jpg,0.07601964,0.04005478,0.02079303,0.0410367,0.02912959,0.0132568,0.06434125,0.009143917,0.03696341,0.0211109,0.0126669,0.001743636,0.4111288,0.0640754,0.005095683,0.008340604,0.1036802,0.01048229,0.03621232,0.0605433,0.005155397,0.04136354,0.04847499,0.0170696,0.001141281,0.04962943,0.008472443,0.01469121,0.1398003,0.02405917,0.01884462,0.003706218,0.006388084,0.07438873,0.06272694,0.004390914,0.06365674,0.03543809,0.1499375,0.0196318,0.04799278,0.06146727,0.01137775,0.01068649,0.02781695,0.07497415,0.007475989,0.00153686,0.003284193,0.0005398989,0.004708815,0.01042057,0.02986327,0.05771578,0.03812115,0.03369243,0.06680203,0.001890031,0.0006324613,0.03501469,0.07232744,0.02677149,0.07421488,0.005125825,0.1111243,0.01387106,0.01347189,0.03642909,0.01834133,0.01621494,0.003922699,0.01865556,0.1491012,0.07302991,0.01056436,0.07796342,0.1186549,0.03236131,0.004569686,0.009996678,0.07456925,0.02136854,0.01683191,0.03342636,0.008096929,0.011235,0.08141917,0.0372897,0.002145117,0.0528489,0.01358416,0.05426418,0.00312731,0.03211756,0.01228222,0.03861819,0.09719944,0.006172788,0.006942268,0.03602896,0.02138566,
014c3a16.jpg,0.001462206,0.03162057,0.01184505,0.01556691,0.05423532,0.01748085,0.01842178,0.01964684,0.03908802,0.1478836,0.06371142,0.02002631,0.09771041,0.158429,0.02959714,0.02476986,0.1726644,0.07125937,0.0004346432,0.0341432,0.007963649,0.006608374,0.03245389,0.04083627,0.03540189,0.05764772,0.01000662,0.008600134,0.02159054,0.004678657,0.05162938,0.0002484964,0.05944475,0.07138748,0.02250724,0.02103861,0.02915847,0.01242825,0.1183363,0.009557869,0.01321165,0.01745331,0.1503655,0.01886568,0.05785508,0.1063925,0.005188963,0.03617193,0.03093087,0.02141843,0.1290386,0.000528973,0.0264551,0.002467446,0.007177396,0.08106818,0.01684505,0.01690166,0.08164918,0.01763654,0.03860206,0.02556721,0.04304054,0.04989469,0.008144553,0.00365528,0.006148307,0.06724519,0.04303436,0.01180349,0.118505,0.0001815727,0.02810602,0.01236714,0.1708638,0.01199281,0.008110893,0.002271443,0.04560654,0.004651085,0.003289256,0.01229208,0.02697792,0.01750788,0.03924757,0.002464576,0.001582054,0.009709955,0.01899507,0.002003794,0.000832517,0.03144876,0.01174605,0.03463849,0.06323043,0.02515198,0.04271747,0.03459685,0.06949849,0.08301912,0.0199919,
015c3a16.jpg,0.01078746,0.01913095,0.00315424,0.01519802,0.001888891,0.00386568,0.009585855,0.03316124,0.01681702,0.008247983,0.02723952,0.01090025,0.2257484,0.02158239,0.4650519,0.007873492,0.02028009,0.01797481,0.02818483,0.08187362,0.0108165,0.001257663,0.06941162,0.003837278,0.1314505,0.007112548,8.031934E-05,0.0010236,0.0008214627,0.009284572,0.02587776,0.04381181,0.01299641,0.04616632,0.02905152,0.07350385,0.1063445,0.03759462,0.02500571,0.02572514,0.002669536,0.0804101,0.02863974,0.01647425,0.08128524,0.09089204,0.004172764,0.02198373,0.03691536,0.05245885,0.03350507,0.0145372,0.114603,0.03002356,0.005822282,0.1556679,0.01260631,0.002524302,0.0036781,0.01874236,0.02450008,0.02353057,0.004953722,0.1593296,0.02215106,0.008428033,0.004843117,0.03063174,0.139077,0.1040251,0.05512333,0.02559484,0.07529557,0.1124351,0.003609702,0.01354931,0.007580807,0.00705958,0.001424542,0.009333725,0.04550827,0.02546253,0.05210967,0.01331997,0.01366533,0.0055588,0.05002385,0.002661626,0.03997467,0.003812236,0.002556155,0.1356072,0.01266278,0.05448631,0.003861643,0.05299789,0.02340294,0.1141089,0.06756407,0.007258827,0.004925692,
016c3a16.jpg,0.08480847,0.07463034,0.06574623,0.01661522,0.004871645,0.06387128,0.01684497,0.07451469,0.03224848,0.04370706,0.003198533,0.08810636,0.01858042,0.0172387,0.01061121,0.5632117,0.1130925,0.001941743,0.02861369,0.004055672,0.01645086,0.006533988,0.04778739,0.01670701,0.1002532,0.1527774,0.01935969,0.01052345,0.04050399,0.01462629,0.0002901091,0.07049155,0.01863648,0.05027227,0.02146393,0.01929358,0.04198891,0.04869523,0.1060929,0.007128624,0.01068126,0.02742017,0.07684169,0.07050725,0.00764633,0.0184796,0.1037548,0.01517994,0.06822112,0.0001177761,0.01137438,0.01654796,0.00737059,0.0885831,0.008674806,0.003794868,0.01681135,0.1008573,0.006458714,0.006967868,0.02510408,0.004788441,0.07221092,0.07517895,0.1568156,0.02630451,0.01711594,0.03140759,0.00820691,0.06585053,0.02666087,0.006634898,0.04805514,0.02803294,0.02901359,0.06204252,0.1678627,0.0113897,0.003094054,0.0001463041,0.03812792,0.1343217,0.01174789,0.03618905,0.03246416,0.03110581,0.05587946,0.0005355439,0.007645266,0.04562119,0.009760056,0.05944747,0.01107051,0.1072038,0.1140463,0.02986004,0.01887229,0.004079842,0.1069785,0.03093181,0.07339295,
017c3a16.jpg,0.01031521,0.1604756,0.1054276,0.04152633,0.003960717,0.07250361,0.004051175,0.02604,0.007897696,0.009243726,0.1105042,0.02526956,0.03704426,0.003908901,0.124472,0.01459833,0.3007458,0.01507924,0.0004460151,0.005372282,0.02156568,0.07573128,0.007244346,0.06027098,0.01135932,0.006954086,0.05374154,0.001415824,0.009058146,0.02311929,0.004050903,0.001072679,0.006295493,0.07052793,0.01136526,0.0005077769,0.04554969,0.009879764,0.01570846,0.004843188,0.003657268,0.02491205,0.005403358,0.02991737,0.0001124666,0.01873492,0.05353427,0.005719614,0.06041478,0.0403972,0.03308986,0.01979557,0.02177984,0.002644168,0.02618015,0.02954768,0.02447034,0.02353678,0.06590559,0.01204599,0.01351669,0.01849974,0.02556207,0.02799696,0.01327622,0.00376796,0.06700021,0.03896685,0.00740099,0.01402508,0.004898667,0.005279193,0.02076414,0.0247828,0.03452375,0.03634051,0.006582283,0.01293782,0.01779779,0.001542092,0.04318494,0.08096377,0.02603354,0.00328486,0.006228412,0.005755824,0.01622507,0.01808452,0.003010239,0.001121648,0.01050401,0.001125394,0.0519882,0.06259616,0.1044194,0.0002327006,0.05578432,0.04015643,0.003998145,0.01403389,0.02809112,
018c3a16.jpg,0.006741892,0.0540201,0.001139532,0.02707838,0.02605848,0.02709292,0.0110144,0.06834213,0.03789617,0.02014417,0.06980767,0.01950966,0.01684355,0.06083873,0.04533733,0.00621474,0.008384224,0.5026047,0.005217659,0.01166522,0.005776476,0.0002598793,0.0151423,0.004439317,0.01424521,0.01791035,0.03079361,0.01175124,0.03660303,0.04649865,0.004104264,0.002166136,0.07202035,0.0207148,0.02052487,0.006670855,0.0238406,0.00393807,0.003176961,0.003180274,0.0353899,0.01114526,0.00346749,0.002953456,0.0945617,0.002427054,0.00777287,0.01769038,0.00746405,0.02303904,0.0232045,0.0205617,0.01619189,0.04494289,0.0553716,0.01568279,0.000666565,0.005397395,0.003710868,0.006385209,0.003406283,0.004258484,0.003623055,0.004259972,0.001468422,0.01551789,0.000601183,0.009091633,0.01009699,0.104476,0.003009466,0.009845539,0.03118397,0.0001044523,0.02751081,0.0599669,0.007475468,0.0007334673,0.06058826,0.01837542,0.1263303,0.004926352,0.05646857,0.0222732,0.0007061052,0.1728365,0.04353956,0.007512411,0.006179229,0.04932848,0.02733654,0.02847035,0.000634991,0.0119825,0.06990735,0.02065235,0.004518417,0.004570188,0.05166974,0.03516554,0.00922689,
019c3a16.jpg,0.0810326,0.07910317,0.002372022,0.001331882,0.05203216,0.08340891,0.001028364,0.0008910501,0.2309438,0.09271301,0.02804182,0.03190907,0.007284501,0.01094281,0.08232631,0.02554996,0.0008098102,0.00384058,0.4422146,0.004464052,0.03305129,0.005616846,0.01211462,0.1195301,0.09387837,0.133587,0.005402216,0.002629251,0.0053415,0.01813127,0.002722985,0.06195625,0.007446489,0.03172632,0.06650905,0.008710461,0.00836574,0.05952726,0.02617783,0.008359161,0.02344261,0.023921,0.01599753,0.0957748,0.005751865,0.002323221,0.02927604,0.01847835,0.001987878,0.03232285,0.0615117,0.0181793,0.00996745,0.0269048,0.02120909,0.1281248,0.1366298,0.002499484,0.002820305,0.02279414,0.01179809,0.01974392,0.0009610432,0.04954196,0.03652124,0.01099403,0.09795645,0.01810737,0.0243738,0.02388246,0.02744117,0.01282452,0.01371248,0.008415099,0.001600157,0.01426957,0.022745,0.002590047,0.006829537,0.01676174,0.02606067,0.00668219,0.02933901,0.05732953,0.06439117,0.0003544473,0.01397279,0.06963783,0.0009380829,0.04712373,0.02441487,0.01224536,0.0208577,0.01608122,0.05043427,0.009036466,0.002492495,0.01226969,0.01775298,0.008358529,0.01964448,
020c3a16.jpg,0.02579329,0.115558,0.008735785,0.006160218,4.754614E-06,0.006219181,0.03124861,0.02619245,0.0863066,0.004870506,0.00899903,0.06387912,0.003268004,0.03457917,0.009589886,0.0828519,0.04427286,0.0538023,0.02753652,0.3197658,0.002120924,0.05675527,0.02498423,0.01468115,0.02531921,0.00034154,0.003695608,0.01971282,0.02384064,0.09233507,0.01349866,0.08306728,0.01908124,0.08673242,0.08693644,0.01078838,0.04797556,0.006227403,0.1232538,0.000646656,0.02329206,0.01546468,0.008337698,0.004788546,0.08175897,0.1161359,0.01664096,0.07395503,0.0933716,0.0168359,0.01768727,0.00588841,0.06890114,0.02105632,0.01659402,0.003906643,0.00717997,0.01151825,0.00202157,0.01842761,0.1165769,0.002492906,0.01269636,0.001381555,0.008691004,0.002592143,0.01444778,0.06257266,0.03840705,0.004488291,0.0235742,0.02510769,0.02482572,0.01829887,0.01038394,0.0468036,0.009689493,0.02255961,0.004382331,0.02768662,0.006914495,0.008205824,0.06560872,0.1497285,0.03867012,0.003787647,0.1153767,0.0004621705,0.002509937,0.001206505,0.01799634,0.008231351,0.002070524,9.674822E-05,0.1091553,0.007419289,0.02628002,0.01359848,0.02653625,0.01618964,0.003364928,
022c3a16.jpg,0.003677372,0.004566969,0.0008186192,0.02329097,0.002904741,0.02438857,0.001485044,0.01987098,0.04495941,0.0001615425,0.09634737,0.01795737,0.05569789,0.005754079,0.004539907,0.01419129,0.01264976,0.0004328185,0.0008800537,0.007945732,0.007205796,0.2308354,0.1153838,0.007825982,0.01406481,0.004513054,0.001134009,0.005989347,0.0509818,4.2615E-05,0.007741221,0.02429565,0.08437196,0.003248536,0.01650689,0.005684823,0.01156966,0.03671783,0.09119154,0.03826501,0.06590499,8.34216E-05,0.01919402,0.01309779,0.05494582,0.007659242,0.0006315223,0.01595592,0.001245366,0.00661921,0.04708456,0.08936828,0.001777006,0.01244557,0.004870603,0.01305722,0.01206125,0.01265494,0.01227208,0.06140433,0.01258901,0.01656268,0.00449042,0.03425738,0.005619143,0.03131025,0.002582383,0.0003680494,0.00145192,0.004411373,0.0004771019,0.01080851,0.0961047,0.01102568,0.005852195,0.002737533,0.004202049,0.000242788,0.00753752,0.01455405,0.06247893,0.07959263,0.02967723,0.000738416,0.02840203,0.001309657,0.05986498,0.002333947,0.07083222,0.000186158,0.01757311,0.02304669,0.0009587777,0.02307138,0.04080018,0.04893518,0.0001850945,0.01940223,0.03416242,0.003439205,0.03671244,
